set	piece	slot	bodypart	armorType	from	NG	D	C	B	A	S
Shirt Set	Shirt Helmet	head	head		NG	10000	10004	10009	10014	10019	10024
Shirt Set	Shirt	chest	chest	LIGHT	NG	21	10005	10010	10015	10020	10025
Shirt Set	Shirt Gaiters	legs	legs	LIGHT	NG	10001	10006	10011	10016	10021	10026
Shirt Set	Shirt Gloves	gloves	gloves		NG	10002	10007	10012	10017	10022	10027
Shirt Set	Shirt Boots	feet	feet		NG	10003	10008	10013	10018	10023	10028
Leather Shirt Set	Leather Shirt Helmet	head	head		NG	10029	10033	10038	10043	10048	10053
Leather Shirt Set	Leather Shirt	chest	chest	LIGHT	NG	22	10034	10039	10044	10049	10054
Leather Shirt Set	Leather Shirt Gaiters	legs	legs	LIGHT	NG	10030	10035	10040	10045	10050	10055
Leather Shirt Set	Leather Shirt Gloves	gloves	gloves		NG	10031	10036	10041	10046	10051	10056
Leather Shirt Set	Leather Shirt Boots	feet	feet		NG	10032	10037	10042	10047	10052	10057
Wooden Set	Wooden Breastplate Helmet	head	head		NG	10058	10062	10067	10072	10077	10082
Wooden Set	Wooden Breastplate	chest	chest	LIGHT	NG	23	10063	10068	10073	10078	10083
Wooden Set	Wooden Breastplate Gaiters	legs	legs	LIGHT	NG	10059	10064	10069	10074	10079	10084
Wooden Set	Wooden Breastplate Gloves	gloves	gloves		NG	10060	10065	10070	10075	10080	10085
Wooden Set	Wooden Breastplate Boots	feet	feet		NG	10061	10066	10071	10076	10081	10086
Bone Set	Bone Breastplate Helmet	head	head		NG	10087	10091	10096	10101	10106	10111
Bone Set	Bone Breastplate	chest	chest	LIGHT	NG	24	10092	10097	10102	10107	10112
Bone Set	Bone Breastplate Gaiters	legs	legs	LIGHT	NG	10088	10093	10098	10103	10108	10113
Bone Set	Bone Breastplate Gloves	gloves	gloves		NG	10089	10094	10099	10104	10109	10114
Bone Set	Bone Breastplate Boots	feet	feet		NG	10090	10095	10100	10105	10110	10115
Piece Bone Set	Piece Bone Breastplate Helmet	head	head		NG	10116	10120	10125	10130	10135	10140
Piece Bone Set	Piece Bone Breastplate	chest	chest	HEAVY	NG	25	10121	10126	10131	10136	10141
Piece Bone Set	Piece Bone Breastplate Gaiters	legs	legs	HEAVY	NG	10117	10122	10127	10132	10137	10142
Piece Bone Set	Piece Bone Breastplate Gloves	gloves	gloves		NG	10118	10123	10128	10133	10138	10143
Piece Bone Set	Piece Bone Breastplate Boots	feet	feet		NG	10119	10124	10129	10134	10139	10144
Bronze Set	Bronze Breastplate Helmet	head	head		NG	10145	10149	10154	10159	10164	10169
Bronze Set	Bronze Breastplate	chest	chest	HEAVY	NG	26	10150	10155	10160	10165	10170
Bronze Set	Bronze Breastplate Gaiters	legs	legs	HEAVY	NG	10146	10151	10156	10161	10166	10171
Bronze Set	Bronze Breastplate Gloves	gloves	gloves		NG	10147	10152	10157	10162	10167	10172
Bronze Set	Bronze Breastplate Boots	feet	feet		NG	10148	10153	10158	10163	10168	10173
Hard Leather Set	Hard Leather Shirt Helmet	head	head		NG	10174	10178	10183	10188	10193	10198
Hard Leather Set	Hard Leather Shirt	chest	chest	LIGHT	NG	27	10179	10184	10189	10194	10199
Hard Leather Set	Hard Leather Shirt Gaiters	legs	legs	LIGHT	NG	10175	10180	10185	10190	10195	10200
Hard Leather Set	Hard Leather Shirt Gloves	gloves	gloves		NG	10176	10181	10186	10191	10196	10201
Hard Leather Set	Hard Leather Shirt Boots	feet	feet		NG	10177	10182	10187	10192	10197	10202
Composite Set	Composite Armor Helmet	head	head		C			10203	10206	10210	10214
Composite Set	Composite Armor	chest	fullarmor	HEAVY	C			60	10207	10211	10215
Composite Set	Composite Armor Gloves	gloves	gloves		C			10204	10208	10212	10216
Composite Set	Composite Armor Boots	feet	feet		C			10205	10209	10213	10217
Ring Mail Set	Ring Mail Breastplate Helmet	head	head		D		10218	10222	10227	10232	10237
Ring Mail Set	Ring Mail Breastplate	chest	chest	HEAVY	D		347	10223	10228	10233	10238
Ring Mail Set	Ring Mail Breastplate Gaiters	legs	legs	HEAVY	D		10219	10224	10229	10234	10239
Ring Mail Set	Ring Mail Breastplate Gloves	gloves	gloves		D		10220	10225	10230	10235	10240
Ring Mail Set	Ring Mail Breastplate Boots	feet	feet		D		10221	10226	10231	10236	10241
Scale Set	Scale Mail Helmet	head	head		D		10242	10246	10251	10256	10261
Scale Set	Scale Mail	chest	chest	HEAVY	D		348	10247	10252	10257	10262
Scale Set	Scale Mail Gaiters	legs	legs	HEAVY	D		10243	10248	10253	10258	10263
Scale Set	Scale Mail Gloves	gloves	gloves		D		10244	10249	10254	10259	10264
Scale Set	Scale Mail Boots	feet	feet		D		10245	10250	10255	10260	10265
Compound Scale Set	Compound Scale Mail Helmet	head	head		D		10266	10270	10275	10280	10285
Compound Scale Set	Compound Scale Mail	chest	chest	HEAVY	D		349	10271	10276	10281	10286
Compound Scale Set	Compound Scale Mail Gaiters	legs	legs	HEAVY	D		10267	10272	10277	10282	10287
Compound Scale Set	Compound Scale Mail Gloves	gloves	gloves		D		10268	10273	10278	10283	10288
Compound Scale Set	Compound Scale Mail Boots	feet	feet		D		10269	10274	10279	10284	10289
Dwarven Scale Set	Dwarven Scale Mail Helmet	head	head		D		10290	10294	10299	10304	10309
Dwarven Scale Set	Dwarven Scale Mail	chest	chest	HEAVY	D		350	10295	10300	10305	10310
Dwarven Scale Set	Dwarven Scale Mail Gaiters	legs	legs	HEAVY	D		10291	10296	10301	10306	10311
Dwarven Scale Set	Dwarven Scale Mail Gloves	gloves	gloves		D		10292	10297	10302	10307	10312
Dwarven Scale Set	Dwarven Scale Mail Boots	feet	feet		D		10293	10298	10303	10308	10313
Blast Set	Blast Plate Helmet	head	head		D		10314	10318	10323	10328	10333
Blast Set	Blast Plate	chest	chest	HEAVY	D		351	10319	10324	10329	10334
Blast Set	Blast Plate Gaiters	legs	legs	HEAVY	D		10315	10320	10325	10330	10335
Blast Set	Blast Plate Gloves	gloves	gloves		D		10316	10321	10326	10331	10336
Blast Set	Blast Plate Boots	feet	feet		D		10317	10322	10327	10332	10337
Brigandine Set	Brigandine Tunic Helmet	head	head		D		10338	10342	10347	10352	10357
Brigandine Set	Brigandine Tunic	chest	chest	HEAVY	D		352	10343	10348	10353	10358
Brigandine Set	Brigandine Tunic Gaiters	legs	legs	HEAVY	D		10339	10344	10349	10354	10359
Brigandine Set	Brigandine Tunic Gloves	gloves	gloves		D		10340	10345	10350	10355	10360
Brigandine Set	Brigandine Tunic Boots	feet	feet		D		10341	10346	10351	10356	10361
Half Plate Set	Half Plate Armor Helmet	head	head		D		10362	10366	10371	10376	10381
Half Plate Set	Half Plate Armor	chest	chest	HEAVY	D		353	10367	10372	10377	10382
Half Plate Set	Half Plate Armor Gaiters	legs	legs	HEAVY	D		10363	10368	10373	10378	10383
Half Plate Set	Half Plate Armor Gloves	gloves	gloves		D		10364	10369	10374	10379	10384
Half Plate Set	Half Plate Armor Boots	feet	feet		D		10365	10370	10375	10380	10385
Chain Mail Set	Chain Mail Shirt Helmet	head	head		C			10386	10390	10395	10400
Chain Mail Set	Chain Mail Shirt	chest	chest	HEAVY	C			354	10391	10396	10401
Chain Mail Set	Chain Mail Shirt Gaiters	legs	legs	HEAVY	C			10387	10392	10397	10402
Chain Mail Set	Chain Mail Shirt Gloves	gloves	gloves		C			10388	10393	10398	10403
Chain Mail Set	Chain Mail Shirt Boots	feet	feet		C			10389	10394	10399	10404
Dwarven Chain Mail Set	Dwarven Chain Mail Shirt Helmet	head	head		C			10405	10409	10414	10419
Dwarven Chain Mail Set	Dwarven Chain Mail Shirt	chest	chest	HEAVY	C			355	10410	10415	10420
Dwarven Chain Mail Set	Dwarven Chain Mail Shirt Gaiters	legs	legs	HEAVY	C			10406	10411	10416	10421
Dwarven Chain Mail Set	Dwarven Chain Mail Shirt Gloves	gloves	gloves		C			10407	10412	10417	10422
Dwarven Chain Mail Set	Dwarven Chain Mail Shirt Boots	feet	feet		C			10408	10413	10418	10423
Full Plate Set	Full Plate Armor Helmet	head	head		C			10424	10427	10431	10435
Full Plate Set	Full Plate Armor	chest	fullarmor	HEAVY	C			356	10428	10432	10436
Full Plate Set	Full Plate Armor Gloves	gloves	gloves		C			10425	10429	10433	10437
Full Plate Set	Full Plate Armor Boots	feet	feet		C			10426	10430	10434	10438
Zubei Heavy Set	Zubei's Breastplate Helmet	head	head		B				10439	10443	10448
Zubei Heavy Set	Zubei's Breastplate	chest	chest	HEAVY	B				357	10444	10449
Zubei Heavy Set	Zubei's Breastplate Gaiters	legs	legs	HEAVY	B				10440	10445	10450
Zubei Heavy Set	Zubei's Breastplate Gloves	gloves	gloves		B				10441	10446	10451
Zubei Heavy Set	Zubei's Breastplate Boots	feet	feet		B				10442	10447	10452
