# Size, offset and particle speed of the enchant glow, per weapon shape.
#
# Applied by tools\client\tune_enchant_glow.ps1 to every weapongrp row whose
# effect is an EnchantGlow rung. See docs/enchant-glow.md.
#
# key     what it matches                            wins over
# ------  -----------------------------------------  ----------
# *       every glowing weapon                       nothing
# 004t    one shape of the ladder                    *
# id:266  one weapon, by its weapongrp id            everything
#
# With no "*" row - as here - only the weapons named below are written, and every other glowing
# row keeps the numbers weapongrp already carries.
#
# offX/offY/offZ move the effect in the weapon's own axes, in Unreal units:
#   X  along the blade   (+ towards the tip)
#   Y  sideways
#   Z  up
# scale is the size of the effect, 1 being the size it was authored at ; over 3
# is enormous. velocity is how fast its particles travel - lower is a tighter,
# calmer glow, higher throws them further out.
#
# On two-handed-mesh weapons (fists, dual swords) the same row goes to both hands.

# key    offX   offY   offZ   scale   velocity
id:5     -17    0      0      1       1
id:6     -18    0      0      1       1
id:2     0      0      0      2       1
id:3     0      0      0      2       1
id:4     -25.5  0      0      1       2
id:7     -17    0      0      1       1
id:76    3.5    0      0      2       2
id:133   0      0      0      2.2     2.5
id:135   0      0      0      2       1.85
id:178   -2.5   0      0      1       1.7
id:183   -2.5   0      0      1       1.7
id:184   0      0      0      1       1.7
id:185   3.5    0      0      1       1.7
id:186   3.5    0      0      1       1.7
id:188   0      0      0      1       1.5
id:190   -12    0      0      1       1
id:191   -12.5  0      0      1.25    1.7
id:192   0      0      0      1       1.7
id:194   0      0      0      1.25    1.7
id:195   2.5    0      0      1       1.7
id:198   1.5    0      0      1.1     1.7
id:199   -10    0      0      1.05    1.7
id:200   -5     0      0      1       1.7
id:203   4      0      0      1.15    1.7
id:204   -3     0      0      1       1.7
id:205   1      0      0      1       1.75
id:206   1      0      0      1       1.75
id:210   7.5    0      0      1       1.75
id:8     -2     0      0      1       1
id:9     -2     0      0      1       1
id:10    0      0      0      2       2
id:11    0      0      0      2       2
id:12    0      0      0      2       2
id:13    0      -1     0      1.25    1
id:14    0      0      0      1.25    1
id:15    22.5   0      0      2       2
id:16    25     0      0      2       2
id:66    0      0      0      2       1
id:69    0      0      0      2       1
id:70    0      0      0      2.5     3
id:71    0      0      0      2.5     3
id:72    0      0      0      2       1.5
id:75    0      0      0      2       1.5
id:77    0      0      0      2       1.5
id:78    0      0      0      2.75    3.5
id:79    0      0      0      2.2     1.5
id:80    0      0      0      2.2     1.5
id:81    0      2      0      3.5     3.5
id:83    0      0      0      2       1
id:84    0      0      0      2.2     1.5
id:85    0      0      0      2       1
id:88    -19    0      0      1       1
id:89    -22.5  0      0      1.15    1.5
id:90    -3     0      0      1       1.5
id:91    -13    0      0      1.5     1.5
id:93    25     0      0      2       2
id:94    25     0      0      2       2
id:95    28.5   0      0      2       2
id:97    28     0      0      2       2
id:98    28     0      0      2       2
id:100   -25    0      0      0.75    1
id:101   -28    0      0      0.75    1
id:121   0      0      0      2       1
id:122   0      0      0      1.65    0
id:124   0      0      0      2.25    3
id:125   0      0      0      2       1
id:126   0      0      0      2       1
id:128   0      0      0      2       1.5
id:129   0      0      0      2       1.5
id:130   0      0      0      2       1
id:131   0      0      0      2.2     1.5
id:134   0      0      0      2.2     1.5
id:136   0      0      0      2.5     1
id:142   0      0      0      2       2
id:143   0      0      0      2.2     1
id:144   0      0      0      2.2     1
id:145   0      0      0      2.2     1.5
id:146   0      0      0      2.2     1
id:148   0      0      0      1.75    1.5
id:149   0      0      0      1.5     0
id:150   0      0      0      2       1.5
id:151   0      0      0      2.2     2.5
id:154   -17    0      0      1       1
id:155   -13.5  0      0      1.25    2
id:158   -12.5  0      0      1.25    1.5
id:159   -12.5  0      0      1.25    1.5
id:161   -15    0      0      1.25    1.5
id:162   -17.5  0      0      1.25    1.5
id:164   -20    0      0      1.25    1.5
id:167   -17    0      0      1.25    1.5
id:168   -15    0      0      1.25    1.5
id:171   -10    0      0      1.25    1.7
id:172   -15    0      0      1.25    1.7
id:173   -15    0      0      1.25    1.7
id:174   -22.5  0      0      1       1.7
id:175   -14    0      0      1.25    1.7
id:179   -15    0      0      1       1.7
id:180   -17    0      0      1       1.7
id:181   -13    0      0      1       1.7
id:182   -9     0      0      1.25    1.7
id:187   2      0      0      1.25    1.5
id:189   -9.5   0      0      1.25    2
id:193   -15    0      0      1.25    1.7
id:196   -13    0      0      1       1.7
id:197   1.5    0      0      1       1.7
id:201   -13    0      0      1       1.7
id:202   -15    0      0      1.25    1.7
id:212   5      0      0      1       1.75
id:213   5      0      0      1       1.75
id:215   0.5    2      0      2       1
id:217   0      0      0      2       1.5
id:218   0      0      0      2       1.5
id:219   0      0      0      2       2
id:220   0      0      0      2       2.25
id:221   0      0      0      2       2.5
id:222   0      0      0      2       2
id:224   -0.5   0      0      2       3
id:225   0      0      0      2       2
id:226   0      0      0      2       2.5
id:227   0      0      0      2       3
id:229   0      0      0      2       2.5
id:230   0      0      0      2       3
id:231   0      0      0      2       3
id:232   0      0      0      2       3
id:233   0      0      0      2       2.5
id:234   0      0      0      2       3
id:235   0      1      0      2       1.5
id:236   0      0      0      2.25    3
id:238   0      0      0      2       2
id:239   0      -0.5   0      2       2
id:241   0      0      0      2       3
id:242   0      0      0      2       1.5
id:243   0      0      0      2       2.5
id:273   0      -1     0      1.5     1.25
id:274   0      1      0      1.5     1.25
id:275   0      1      0      1.5     1.25
id:276   0      0      0      1.5     1.25
id:278   0      1      0      1.5     1.25
id:279   0      2      0      1.75    1.25
id:280   0      1      0      1.5     1.25
id:281   0      1      0      1.5     1.25
id:282   0      1      0      1.5     1.25
id:283   0      2      0      1.5     1.25
id:284   0      2      0      1.5     1.25
id:285   0      0      0      1.5     1.25
id:286   0      0      0      1.5     1.25
id:287   0      0      0      1.5     1.25
id:288   0      2      0      1.5     1.25
id:289   0      2      0      1.75    1.25
id:291   27     0      0      2       2
id:292   27     0      0      2       2
id:293   27     0      0      2       2
