"id","name","class","origGrade"
"1","Short Sword","SWORD_P","NG"
"2","Long Sword","SWORD_P","NG"
"3","Broadsword","SWORD_P","NG"
"4","Club","BLUNT_P","NG"
"5","Mace","BLUNT_P","NG"
"6","Apprentice's Wand","BLUNT_M","NG"
"7","Apprentice's Rod","BLUNT_M","NG"
"8","Willow Staff","BIGBLUNT_M","NG"
"9","Cedar Staff","BIGBLUNT_M","NG"
"10","Dagger","DAGGER_P","NG"
"11","Bone Dagger","DAGGER_P","NG"
"12","Knife","DAGGER_P","NG"
"13","Short Bow","BOW","NG"
"14","Bow","BOW","NG"
"15","Short Spear","POLE","NG"
"16","Long Spear","POLE","NG"
"66","Gladius","SWORD_P","NG"
"67","Orcish Sword","SWORD_P","NG"
"68","Falchion","SWORD_P","NG"
"69","Bastard Sword","SWORD_P","D"
"70","Claymore","BIGSWORD","D"
"71","Flamberge","BIGSWORD","C"
"72","Stormbringer","SWORD_P","C"
"73","Shamshir","SWORD_P","C"
"74","Katana","SWORD_P","C"
"75","Caliburs","SWORD_P","C"
"76","Sword of Delusion","SWORD_P","C"
"77","Tsurugi","SWORD_P","C"
"78","Great Sword","BIGSWORD","B"
"79","Sword of Damascus","SWORD_P","B"
"80","Tallum Blade","SWORD_P","A"
"81","Dragon Slayer","BIGSWORD","A"
"82","God's Blade","SWORD_P","S"
"83","Sword of Magic","SWORD_M","D"
"84","Homunkulus's Sword","SWORD_M","C"
"85","Phantom Sword","SWORD_M","A"
"86","Tomahawk","BLUNT_P","D"
"87","Iron Hammer","BLUNT_P","NG"
"88","Morning Star","BLUNT_P","D"
"89","Big Hammer","BLUNT_P","C"
"90","Goat Head Staff","BIGBLUNT_M","D"
"91","Heavy War Axe","BLUNT_P","B"
"92","Sprite's Staff","BIGBLUNT_M","B"
"93","Winged Spear","POLE","D"
"94","Bec de Corbin","POLE","C"
"95","Poleaxe","POLE","C"
"96","Scythe","POLE","C"
"97","Lance","POLE","B"
"98","Halberd","POLE","A"
"99","Apprentice's Spellbook","ETC_M","NG"
"100","Voodoo Doll","ETC_M","NG"
"101","Scroll of Wisdom","ETC_M","D"
"120","Sword of Reflection","SWORD_P","NG"
"121","Sword of Watershadow","SWORD_P","NG"
"122","Handmade Sword","SWORD_P","NG"
"123","Saber","SWORD_P","D"
"124","Two-Handed Sword","BIGSWORD","D"
"125","Spinebone Sword","SWORD_P","D"
"126","Artisan's Sword","SWORD_P","D"
"127","Crimson Sword","SWORD_P","D"
"128","Knight's Sword","SWORD_P","D"
"129","Sword of Revolution","SWORD_P","D"
"130","Elven Sword","SWORD_P","D"
"131","Spirit Sword","SWORD_P","C"
"132","Sword of Limit","SWORD_P","C"
"133","Raid Sword","SWORD_P","C"
"134","Sword of Nightmare","SWORD_P","C"
"135","Samurai Longsword","SWORD_P","C"
"136","Blade of Serenity","SWORD_P","B"
"137","Mist Sword","SWORD_P","B"
"138","Sword of Desert","SWORD_P","B"
"139","Dusk Sword","SWORD_P","B"
"140","Eminence Sword","SWORD_P","B"
"141","Hazard Sword","SWORD_P","B"
"142","Keshanberk","SWORD_P","B"
"143","Sword of Mystic","SWORD_M","D"
"144","Sword of Occult","SWORD_M","D"
"145","Sword of Whispering Death","SWORD_M","C"
"146","Ghoulbane","SWORD_M","B"
"147","Tear of Darkness","SWORD_M","A"
"148","Sword of Valhalla","SWORD_M","B"
"149","Sword of Life","SWORD_M","A"
"150","Elemental Sword","SWORD_M","A"
"151","Sword of Miracles","SWORD_M","A"
"152","Heavy Chisel","BLUNT_P","NG"
"153","Sickle","BLUNT_P","NG"
"154","Dwarven Mace","BLUNT_P","NG"
"155","Buzdygan","BLUNT_P","NG"
"156","Hand Axe","BLUNT_P","D"
"157","Spiked Club","BLUNT_P","D"
"158","Tarbar","BLUNT_P","D"
"159","Bonebreaker","BLUNT_P","D"
"160","Battle Axe","BLUNT_P","C"
"161","Silver Axe","BLUNT_P","C"
"162","War Axe","BLUNT_P","C"
"163","_","BLUNT_P","B"
"164","Elysian","BLUNT_P","A"
"165","Yablonski's Hammer","BLUNT_P","S"
"166","Heavy Mace","BLUNT_P","D"
"167","Scalpel","BLUNT_P","D"
"168","Work Hammer","BLUNT_P","D"
"169","Skull Breaker","BLUNT_P","D"
"170","_","BLUNT_P","A"
"171","Deadman's Glory","BLUNT_P","B"
"172","Heavy Bone Club","BLUNT_P","D"
"173","Skull Graver","BLUNT_P","C"
"174","Nirvana Axe","BLUNT_M","C"
"175","Art of Battle Axe","BLUNT_P","B"
"176","Journeyman's Staff","BIGBLUNT_M","NG"
"177","Mage Staff","BIGBLUNT_M","NG"
"178","Bone Staff","BIGBLUNT_M","D"
"179","Mace of Prayer","BLUNT_M","D"
"180","Mace of Judgment","BLUNT_M","D"
"181","Mace of Miracle","BLUNT_M","D"
